Year,Job_Title,Industry,Automation_Risk,Automation_Risk_Cat,AI_Adoption,Degree_Required,Salary_USD,Experience_Years,Skill_Score,Remote_Work,Job_Demand_Index,Skills,Location,Company_Size,Job_Growth
2020,ML Engineer,Technology,26.8,Low,High,Yes,110057,5,40.0,No,110.3,"Kubernetes, Deep Learning",New York,Medium,Growth
2020,ML Engineer,Technology,15.6,Low,High,Yes,102618,8,40.0,No,84.5,"Python, MLOps",London,Large,Growth
2020,ML Engineer,Technology,27.7,Low,High,Yes,111869,8,40.0,Yes,111.7,"Deep Learning, Kubernetes",Paris,Large,Growth
2020,ML Engineer,Technology,25.7,Low,High,Yes,115777,8,80.0,No,97.5,"MLOps, Kubernetes, Python, Docker",Dubai,Large,Growth
2020,ML Engineer,Technology,11.2,Low,High,Yes,120797,5,40.0,No,98.4,"MLOps, Docker",Tokyo,Small,Growth
2020,ML Engineer,Technology,9.7,Low,High,Yes,109019,0,80.0,No,98.4,"Docker, Kubernetes, Python, Deep Learning",Berlin,Large,Growth
2020,ML Engineer,Technology,24.6,Low,High,Yes,105086,3,80.0,No,93.8,"MLOps, Docker, Kubernetes, Python",London,Small,Growth
2020,ML Engineer,Technology,23.9,Low,High,Yes,106841,10,40.0,Yes,112.0,"Kubernetes, Docker",Dubai,Medium,Growth
2020,ML Engineer,Technology,20.2,Low,High,Yes,111996,2,100.0,No,94.8,"Python, Kubernetes, MLOps, Docker, Deep Learning",Sydney,Medium,Growth
2020,ML Engineer,Technology,22.9,Low,High,Yes,113423,3,60.0,No,84.2,"MLOps, Python, Deep Learning",New York,Small,Growth
2020,ML Engineer,Technology,24.5,Low,High,Yes,101494,3,40.0,No,99.0,"Kubernetes, Docker",Singapore,Large,Growth
2020,ML Engineer,Technology,22.0,Low,High,Yes,128116,1,100.0,No,94.5,"MLOps, Python, Kubernetes, Docker, Deep Learning",Sydney,Large,Growth
2020,ML Engineer,Technology,19.0,Low,High,Yes,94615,6,60.0,No,94.6,"Python, Kubernetes, MLOps",Sydney,Large,Growth
2020,ML Engineer,Technology,20.9,Low,High,Yes,119986,5,80.0,No,86.8,"Kubernetes, Docker, Python, Deep Learning",Sydney,Medium,Growth
2020,ML Engineer,Technology,21.4,Low,High,Yes,102711,6,60.0,No,88.0,"Deep Learning, Kubernetes, MLOps",Toronto,Medium,Growth
2020,ML Engineer,Technology,14.3,Low,High,Yes,112945,7,100.0,No,98.2,"Python, Docker, Deep Learning, MLOps, Kubernetes",Singapore,Small,Growth
2020,ML Engineer,Technology,11.6,Low,High,Yes,136288,3,80.0,No,117.2,"Python, MLOps, Deep Learning, Kubernetes",San Francisco,Large,Growth
2020,ML Engineer,Technology,22.4,Low,High,Yes,127381,6,100.0,No,112.0,"Deep Learning, Kubernetes, Docker, Python, MLOps",Berlin,Large,Growth
2020,ML Engineer,Technology,22.5,Low,High,Yes,106985,6,60.0,No,112.7,"Kubernetes, Docker, Deep Learning",Paris,Large,Growth
2020,ML Engineer,Technology,21.6,Low,High,Yes,107589,2,80.0,No,101.7,"Python, Deep Learning, Docker, Kubernetes",Toronto,Large,Growth
2020,ML Engineer,Technology,20.3,Low,High,Yes,128764,4,80.0,No,86.1,"Deep Learning, MLOps, Docker, Kubernetes",Paris,Small,Growth
2020,ML Engineer,Technology,27.5,Low,High,Yes,114422,3,80.0,No,95.2,"Deep Learning, Python, MLOps, Docker",Sydney,Small,Growth
2020,ML Engineer,Technology,21.3,Low,High,Yes,125556,3,80.0,No,107.8,"Kubernetes, Python, MLOps, Deep Learning",San Francisco,Large,Growth
2020,ML Engineer,Technology,14.1,Low,High,Yes,102517,6,80.0,Yes,103.4,"Kubernetes, MLOps, Docker, Python",Sydney,Large,Growth
2020,ML Engineer,Technology,19.7,Low,High,Yes,129603,6,100.0,Yes,106.1,"Kubernetes, Deep Learning, MLOps, Docker, Python",New York,Medium,Growth
2020,ML Engineer,Technology,16.9,Low,High,Yes,104550,5,100.0,No,96.0,"MLOps, Deep Learning, Docker, Kubernetes, Python",Tokyo,Small,Growth
2020,ML Engineer,Technology,25.5,Low,High,Yes,98866,0,40.0,No,116.9,"Docker, Python",Dubai,Large,Growth
2020,ML Engineer,Technology,19.0,Low,High,Yes,113442,0,40.0,No,94.5,"Python, Kubernetes",Singapore,Small,Growth
2020,ML Engineer,Technology,19.7,Low,High,Yes,109592,6,100.0,No,83.4,"Deep Learning, MLOps, Python, Docker, Kubernetes",Dubai,Small,Growth
2020,ML Engineer,Technology,26.7,Low,High,Yes,106374,3,60.0,Yes,98.9,"Kubernetes, Docker, Python",Berlin,Large,Growth
2020,ML Engineer,Technology,17.3,Low,High,Yes,93118,13,60.0,No,86.2,"Deep Learning, MLOps, Kubernetes",Paris,Large,Growth
2020,ML Engineer,Technology,24.2,Low,High,Yes,95408,8,100.0,No,87.8,"MLOps, Python, Deep Learning, Docker, Kubernetes",San Francisco,Large,Growth
2020,ML Engineer,Technology,9.1,Low,High,Yes,128883,6,80.0,No,108.9,"Kubernetes, Deep Learning, Python, Docker",San Francisco,Medium,Growth
2020,ML Engineer,Technology,11.7,Low,High,Yes,129411,5,60.0,No,113.0,"Python, Deep Learning, Docker",Tokyo,Small,Growth
2020,ML Engineer,Technology,23.7,Low,High,Yes,103099,8,40.0,No,117.9,"MLOps, Deep Learning",Sydney,Large,Growth
2020,ML Engineer,Technology,18.3,Low,High,Yes,124806,10,80.0,No,96.1,"MLOps, Kubernetes, Docker, Deep Learning",Tokyo,Medium,Growth
2020,ML Engineer,Technology,20.4,Low,High,Yes,104062,2,80.0,No,101.2,"MLOps, Kubernetes, Python, Docker",Singapore,Small,Growth
2020,ML Engineer,Technology,29.1,Low,High,Yes,109770,9,40.0,No,87.0,"MLOps, Docker",Toronto,Medium,Growth
2020,ML Engineer,Technology,27.9,Low,High,Yes,115694,2,80.0,Yes,110.8,"Docker, Deep Learning, MLOps, Python",Tokyo,Small,Growth
2020,ML Engineer,Technology,22.7,Low,High,Yes,111462,6,80.0,No,88.6,"Deep Learning, Python, Kubernetes, MLOps",Tokyo,Large,Growth
2020,ML Engineer,Technology,20.9,Low,High,Yes,104718,11,40.0,Yes,109.1,"Docker, Deep Learning",Toronto,Small,Growth
2020,ML Engineer,Technology,22.5,Low,High,Yes,115858,4,100.0,No,118.5,"Docker, MLOps, Kubernetes, Deep Learning, Python",Dubai,Large,Growth
2020,ML Engineer,Technology,16.7,Low,High,Yes,124129,7,40.0,No,114.0,"MLOps, Docker",Toronto,Small,Growth
2020,ML Engineer,Technology,24.1,Low,High,Yes,111472,6,60.0,Yes,84.6,"Docker, Deep Learning, Python",Tokyo,Large,Growth
2020,ML Engineer,Technology,17.1,Low,High,Yes,134101,6,60.0,No,89.2,"MLOps, Kubernetes, Deep Learning",San Francisco,Large,Growth
2020,ML Engineer,Technology,18.7,Low,High,Yes,111484,5,80.0,No,109.5,"MLOps, Deep Learning, Kubernetes, Docker",Singapore,Large,Growth
2020,ML Engineer,Technology,26.9,Low,High,Yes,105185,1,100.0,No,119.9,"MLOps, Kubernetes, Deep Learning, Python, Docker",San Francisco,Small,Growth
2020,ML Engineer,Technology,16.6,Low,High,Yes,93266,0,60.0,No,89.6,"Docker, Kubernetes, Deep Learning",Singapore,Medium,Growth
2020,ML Engineer,Technology,11.2,Low,High,Yes,109618,5,40.0,No,85.0,"Docker, Kubernetes",San Francisco,Large,Growth
2020,ML Engineer,Technology,24.2,Low,High,Yes,112283,8,60.0,No,89.2,"MLOps, Docker, Kubernetes",Dubai,Medium,Growth
2020,ML Engineer,Technology,28.1,Low,High,Yes,104544,4,80.0,No,100.7,"Kubernetes, MLOps, Python, Deep Learning",Toronto,Large,Growth
2020,ML Engineer,Technology,15.8,Low,High,Yes,115185,11,100.0,No,81.4,"MLOps, Kubernetes, Python, Deep Learning, Docker",New York,Large,Growth
2020,ML Engineer,Technology,16.7,Low,High,Yes,103349,4,60.0,No,112.4,"Deep Learning, Docker, MLOps",Singapore,Large,Growth
2020,ML Engineer,Technology,18.8,Low,High,Yes,111123,3,60.0,No,99.8,"Docker, Python, Deep Learning",Sydney,Medium,Growth
2020,Software Developer,Technology,31.1,Low,High,Yes,95255,3,80.0,No,89.8,"Java, Algorithms, Python, APIs",New York,Small,Growth
2020,Software Developer,Technology,36.9,Medium,High,Yes,95838,8,80.0,Yes,112.8,"Algorithms, Python, Git, Java",Singapore,Medium,Growth
2020,Software Developer,Technology,29.5,Low,High,Yes,87968,5,100.0,Yes,93.1,"Algorithms, Java, Git, APIs, Python",Sydney,Small,Growth
2020,Software Developer,Technology,31.3,Low,High,Yes,86387,8,60.0,No,87.2,"Algorithms, Git, Java",Tokyo,Medium,Growth
2020,Software Developer,Technology,28.8,Low,High,Yes,94413,3,40.0,No,93.8,"Python, APIs",Singapore,Medium,Growth
2020,Software Developer,Technology,31.8,Low,High,Yes,85267,8,80.0,No,80.0,"Git, Python, Algorithms, APIs",Tokyo,Small,Growth
2020,Software Developer,Technology,27.7,Low,High,Yes,90800,8,40.0,No,88.8,"Python, Algorithms",London,Large,Growth
2020,Software Developer,Technology,33.3,Low,High,Yes,89107,3,100.0,No,92.8,"Algorithms, APIs, Git, Python, Java",Dubai,Small,Growth
2020,Software Developer,Technology,37.7,Medium,High,Yes,79531,12,80.0,No,87.4,"Git, Java, Algorithms, APIs",Singapore,Large,Growth
2020,Software Developer,Technology,31.0,Low,High,Yes,96381,9,60.0,No,102.3,"APIs, Java, Git",London,Small,Growth
2020,Software Developer,Technology,37.5,Medium,High,Yes,84288,7,40.0,Yes,98.6,"Algorithms, Python",London,Large,Growth
2020,Software Developer,Technology,31.9,Low,High,Yes,94309,7,100.0,Yes,84.1,"Git, Java, Python, APIs, Algorithms",Sydney,Medium,Growth
2020,Software Developer,Technology,34.2,Low,High,Yes,82113,5,40.0,Yes,113.0,"Python, Algorithms",London,Large,Growth
2020,Software Developer,Technology,34.6,Low,High,Yes,94972,9,60.0,Yes,117.4,"APIs, Git, Algorithms",Tokyo,Medium,Growth
2020,Software Developer,Technology,34.6,Low,High,Yes,109041,4,100.0,No,112.7,"APIs, Python, Algorithms, Git, Java",New York,Medium,Growth
2020,Software Developer,Technology,33.3,Low,High,Yes,104106,1,100.0,No,106.3,"Python, APIs, Java, Algorithms, Git",Singapore,Large,Growth
2020,Software Developer,Technology,27.4,Low,High,Yes,79849,6,80.0,No,96.7,"Algorithms, Java, APIs, Git",San Francisco,Large,Growth
2020,Software Developer,Technology,31.9,Low,High,Yes,99282,0,100.0,No,99.5,"Python, Algorithms, APIs, Git, Java",London,Large,Growth
2020,Software Developer,Technology,40.0,Medium,High,Yes,97204,5,100.0,No,98.6,"Java, Algorithms, Python, Git, APIs",Toronto,Medium,Growth
2020,Software Developer,Technology,31.6,Low,High,Yes,87376,2,40.0,No,103.7,"Git, APIs",London,Small,Growth
2020,Software Developer,Technology,29.3,Low,High,Yes,78347,8,100.0,No,95.9,"Python, Algorithms, APIs, Java, Git",Toronto,Small,Growth
2020,Software Developer,Technology,28.7,Low,High,Yes,101103,6,100.0,No,94.4,"Java, APIs, Git, Python, Algorithms",San Francisco,Small,Growth
2020,Software Developer,Technology,30.6,Low,High,Yes,85790,10,80.0,No,88.2,"Python, Git, Java, Algorithms",Singapore,Small,Growth
2020,Software Developer,Technology,29.3,Low,High,Yes,80685,10,40.0,No,99.2,"Python, Algorithms",New York,Medium,Growth
2020,Software Developer,Technology,33.9,Low,High,Yes,76099,6,80.0,No,106.7,"APIs, Python, Java, Git",Tokyo,Medium,Growth
2020,Software Developer,Technology,31.4,Low,High,Yes,84143,7,100.0,No,95.0,"Git, Algorithms, Python, APIs, Java",Sydney,Large,Growth
2020,Software Developer,Technology,23.9,Low,High,Yes,99949,8,80.0,No,113.1,"Algorithms, Git, Java, Python",Singapore,Medium,Growth
2020,Software Developer,Technology,34.0,Low,High,Yes,86415,5,40.0,No,109.5,"Git, APIs",Tokyo,Medium,Growth
2020,Software Developer,Technology,32.1,Low,High,Yes,97109,3,40.0,Yes,101.8,"Java, Algorithms",Toronto,Large,Growth
2020,Software Developer,Technology,34.4,Low,High,Yes,70587,3,40.0,No,82.9,"Python, APIs",Toronto,Medium,Growth
2020,Software Developer,Technology,23.4,Low,High,Yes,98835,4,100.0,No,116.6,"Git, Algorithms, Python, Java, APIs",San Francisco,Medium,Growth
2020,Software Developer,Technology,29.3,Low,High,Yes,75291,7,80.0,No,118.2,"Java, Algorithms, Git, Python",Paris,Large,Growth
2020,Software Developer,Technology,32.9,Low,High,Yes,91163,6,80.0,Yes,117.4,"APIs, Python, Algorithms, Java",Tokyo,Small,Growth
2020,Software Developer,Technology,34.9,Low,High,Yes,84442,2,80.0,No,96.0,"Git, Python, Java, Algorithms",Paris,Large,Growth
2020,Software Developer,Technology,30.8,Low,High,Yes,85137,6,80.0,Yes,102.7,"Git, Python, APIs, Algorithms",London,Small,Growth
2020,Software Developer,Technology,25.0,Low,High,Yes,90616,8,40.0,No,89.1,"APIs, Algorithms",Toronto,Small,Growth
2020,Software Developer,Technology,31.9,Low,High,Yes,87522,7,60.0,No,92.1,"Python, Java, APIs",New York,Medium,Growth
2020,Software Developer,Technology,28.8,Low,High,Yes,79852,6,40.0,No,88.7,"Algorithms, Git",Berlin,Large,Growth
2020,Software Developer,Technology,26.3,Low,High,Yes,84982,0,40.0,Yes,85.7,"Algorithms, Java",Berlin,Medium,Growth
2020,Software Developer,Technology,34.9,Low,High,Yes,99936,8,80.0,No,93.5,"Algorithms, Git, Python, Java",Tokyo,Large,Growth
2020,Software Developer,Technology,27.4,Low,High,Yes,77065,1,80.0,Yes,100.8,"Git, APIs, Python, Algorithms",San Francisco,Medium,Growth
2020,Software Developer,Technology,24.5,Low,High,Yes,96596,8,60.0,No,106.5,"Algorithms, APIs, Java",Tokyo,Medium,Growth
2020,Data Analyst,Finance,34.0,Low,Medium,No,70773,6,80.0,No,71.4,"Tableau, SQL, Statistics, Python",Sydney,Large,Stable
2020,Data Analyst,Finance,37.3,Medium,Medium,No,60149,2,100.0,No,53.7,"Excel, Statistics, Python, Tableau, SQL",Dubai,Small,Stable
2020,Data Analyst,Finance,43.9,Medium,Medium,No,74956,7,60.0,Yes,59.1,"Tableau, Python, Excel",Singapore,Large,Stable
2020,Data Analyst,Finance,46.6,Medium,Medium,No,70274,11,60.0,No,86.8,"Excel, Tableau, SQL",San Francisco,Medium,Stable
2020,Data Analyst,Finance,34.3,Low,Medium,No,76205,0,40.0,No,85.1,"Excel, SQL",New York,Large,Stable
2020,Data Analyst,Finance,42.7,Medium,Medium,No,63710,5,60.0,No,73.0,"Python, Tableau, Excel",Dubai,Medium,Stable
2020,Data Analyst,Finance,42.7,Medium,Medium,No,66386,7,80.0,No,55.9,"Python, Tableau, Excel, SQL",Tokyo,Small,Stable
2020,Data Analyst,Finance,41.2,Medium,Medium,No,63213,0,80.0,Yes,75.6,"Excel, Tableau, SQL, Python",Paris,Large,Stable
2020,Data Analyst,Finance,41.5,Medium,Medium,No,60681,5,40.0,Yes,89.8,"SQL, Excel",Paris,Large,Stable
2020,Data Analyst,Finance,36.2,Medium,Medium,No,66076,5,100.0,No,82.6,"Python, SQL, Excel, Statistics, Tableau",Tokyo,Medium,Stable
2020,Data Analyst,Finance,36.4,Medium,Medium,No,60431,4,80.0,No,69.3,"Python, Tableau, SQL, Excel",Paris,Medium,Stable
2020,Data Analyst,Finance,46.8,Medium,Medium,No,67311,3,40.0,No,58.6,"Python, Excel",San Francisco,Small,Stable
2020,Data Analyst,Finance,42.0,Medium,Medium,No,69892,6,80.0,No,75.8,"SQL, Excel, Python, Tableau",Toronto,Medium,Stable
2020,Data Analyst,Finance,45.8,Medium,Medium,No,63959,6,100.0,No,65.7,"Statistics, Python, Tableau, Excel, SQL",Dubai,Small,Stable
2020,Data Analyst,Finance,46.0,Medium,Medium,No,72276,4,100.0,No,68.5,"Excel, Tableau, SQL, Statistics, Python",London,Small,Stable
2020,Data Analyst,Finance,40.2,Medium,Medium,No,64726,3,80.0,Yes,79.8,"Tableau, SQL, Python, Statistics",Berlin,Small,Stable
2020,Data Analyst,Finance,39.6,Medium,Medium,No,64382,8,60.0,No,88.8,"Excel, SQL, Tableau",Berlin,Large,Stable
2020,Data Analyst,Finance,46.3,Medium,Medium,No,71318,7,100.0,No,65.3,"Tableau, Statistics, Excel, Python, SQL",Tokyo,Medium,Stable
2020,Data Analyst,Finance,36.2,Medium,Medium,No,69809,6,80.0,No,81.9,"Excel, Statistics, SQL, Python",San Francisco,Large,Stable
2020,Data Analyst,Finance,34.6,Low,Medium,No,72549,6,60.0,No,64.9,"Statistics, Excel, Tableau",Singapore,Medium,Stable
2020,Data Analyst,Finance,38.9,Medium,Medium,No,71473,6,80.0,No,75.8,"Statistics, Excel, Tableau, SQL",Paris,Small,Stable
2020,Data Analyst,Finance,50.6,Medium,Medium,No,74820,8,60.0,No,81.1,"Excel, SQL, Python",London,Medium,Stable
2020,Data Analyst,Finance,39.3,Medium,Medium,No,69339,4,80.0,Yes,88.6,"Tableau, SQL, Excel, Statistics",San Francisco,Small,Stable
2020,Data Analyst,Finance,35.7,Medium,Medium,No,71707,7,80.0,No,80.4,"Python, Tableau, Excel, Statistics",San Francisco,Large,Stable
2020,Data Analyst,Finance,41.9,Medium,Medium,No,68536,2,60.0,No,62.4,"Python, Excel, SQL",Singapore,Small,Stable
2020,Data Analyst,Finance,48.2,Medium,Medium,No,88375,2,60.0,No,64.7,"SQL, Excel, Statistics",Paris,Medium,Stable
2020,Data Analyst,Finance,43.2,Medium,Medium,No,82088,3,100.0,No,55.5,"Tableau, Excel, Python, SQL, Statistics",Toronto,Medium,Stable
2020,Data Analyst,Finance,37.9,Medium,Medium,No,61734,3,40.0,No,52.6,"Excel, Tableau",Singapore,Medium,Stable
2020,Data Analyst,Finance,52.8,Medium,Medium,No,75448,3,40.0,No,56.0,"Excel, Python",London,Small,Stable
2020,Data Analyst,Finance,26.1,Low,Medium,No,75606,6,100.0,No,64.9,"SQL, Statistics, Tableau, Python, Excel",New York,Medium,Stable
2020,Data Analyst,Finance,37.1,Medium,Medium,No,83032,1,100.0,Yes,77.4,"SQL, Excel, Statistics, Python, Tableau",Toronto,Small,Stable
2020,Data Analyst,Finance,32.9,Low,Medium,No,61778,7,40.0,No,77.9,"SQL, Tableau",Berlin,Medium,Stable
2020,Data Analyst,Finance,48.4,Medium,Medium,No,65916,1,100.0,Yes,82.1,"Python, Statistics, Excel, Tableau, SQL",London,Medium,Stable
2020,Data Analyst,Finance,39.9,Medium,Medium,No,82405,4,40.0,No,68.9,"Excel, Python",London,Large,Stable
2020,Data Analyst,Finance,35.0,Medium,Medium,No,68414,6,100.0,No,67.2,"Tableau, Python, SQL, Statistics, Excel",New York,Small,Stable
2020,Data Analyst,Finance,40.6,Medium,Medium,No,66577,5,80.0,No,63.9,"Excel, Statistics, Python, Tableau",Sydney,Large,Stable
2020,Data Analyst,Finance,34.3,Low,Medium,No,78118,3,100.0,No,79.2,"Python, Tableau, Statistics, Excel, SQL",Berlin,Large,Stable
2020,Data Analyst,Finance,33.3,Low,Medium,No,86903,3,40.0,Yes,77.4,"SQL, Python",Singapore,Medium,Stable
2020,Data Analyst,Finance,48.1,Medium,Medium,No,71675,9,60.0,Yes,68.3,"Tableau, Python, Statistics",Singapore,Medium,Stable
2020,Data Analyst,Finance,37.8,Medium,Medium,No,84070,9,100.0,No,81.5,"Statistics, Excel, SQL, Python, Tableau",Berlin,Large,Stable
2020,Data Analyst,Finance,38.7,Medium,Medium,No,75897,3,60.0,No,80.3,"Excel, Tableau, SQL",New York,Medium,Stable
2020,Data Analyst,Finance,49.1,Medium,Medium,No,84132,7,100.0,No,69.9,"SQL, Statistics, Excel, Python, Tableau",Singapore,Large,Stable
2020,Data Analyst,Finance,39.6,Medium,Medium,No,57184,5,100.0,No,61.1,"Statistics, SQL, Tableau, Python, Excel",Sydney,Medium,Stable
2020,Data Analyst,Finance,44.9,Medium,Medium,No,74594,0,80.0,No,56.8,"SQL, Python, Statistics, Tableau",Sydney,Small,Stable
2020,Data Analyst,Finance,46.5,Medium,Medium,No,66145,7,60.0,No,53.3,"Statistics, SQL, Python",Paris,Small,Stable
2020,Data Analyst,Finance,34.7,Low,Medium,No,72998,6,60.0,Yes,51.2,"Excel, Python, Statistics",San Francisco,Large,Stable
2020,Accountant,Finance,68.1,High,Medium,Yes,68144,4,60.0,No,62.6,"Excel, Auditing, Tax",New York,Small,Stable
2020,Accountant,Finance,72.7,High,Medium,Yes,65733,6,60.0,No,54.0,"Auditing, Excel, Accounting",Berlin,Large,Stable
2020,Accountant,Finance,67.8,High,Medium,Yes,57576,11,100.0,No,83.7,"Auditing, Excel, Tax, Accounting, QuickBooks",Berlin,Small,Stable
2020,Accountant,Finance,66.1,High,Medium,Yes,72719,6,100.0,No,52.9,"Tax, Excel, Accounting, Auditing, QuickBooks",London,Large,Stable
